Bird Name,Recording #,Title,Source,URL,Audio URL,Location,Recordist,Quality
Pallas's Leaf Warbler,1,Pallas's Leaf Warbler - song,Xeno-canto,https://www.xeno-canto.org/999971,https://xeno-canto.org/999971/download,Shanghai Botanical Garden,Bo Shunqi 薄顺奇,A
Pallas's Leaf Warbler,2,Pallas's Leaf Warbler - song,Xeno-canto,https://www.xeno-canto.org/992673,https://xeno-canto.org/992673/download,"Zhejiang University-Zijingang Campus, Hangzhou, Zhejiang",Feather V,A
Pallas's Leaf Warbler,3,Pallas's Leaf Warbler - song,Xeno-canto,https://www.xeno-canto.org/992587,https://xeno-canto.org/992587/download,"Haiwan Forest Park, Fengxian, Shanghai",Bo Shunqi 薄顺奇,A
Siberian Accentor,1,Siberian Accentor - call,Xeno-canto,https://www.xeno-canto.org/676021,https://xeno-canto.org/676021/download,"Momskiy Natsional'nyy Ulus, Sakha Republic",Albert Lastukhin,A
Siberian Accentor,2,Siberian Accentor - song,Xeno-canto,https://www.xeno-canto.org/675129,https://xeno-canto.org/675129/download,"Momskiy Natsional'nyy Ulus, Sakha Republic",Albert Lastukhin,A
Siberian Accentor,3,"Siberian Accentor - song, full song",Xeno-canto,https://www.xeno-canto.org/674234,https://xeno-canto.org/674234/download,"Momskiy Natsional'nyy Ulus, Sakha Republic",Albert Lastukhin,A
Red-flanked Bluetail,1,Red-flanked Bluetail - song,Xeno-canto,https://www.xeno-canto.org/1005444,https://xeno-canto.org/1005444/download,"Wudaogou, chongli, Zhangjiakou, Hebei",Zhen niu,A
Red-flanked Bluetail,2,Red-flanked Bluetail - song,Xeno-canto,https://www.xeno-canto.org/999306,https://xeno-canto.org/999306/download,"Sharga Moritoyn Dyan, Chingeltei District, Ulaanbaatar",Ding Li Yong,A
Red-flanked Bluetail,3,Red-flanked Bluetail - song,Xeno-canto,https://www.xeno-canto.org/996050,https://xeno-canto.org/996050/download,"Inari, Lapland",Timeo CONSTANT,A
Siberian Jay,1,"Siberian Jay - song, subsong?",Xeno-canto,https://www.xeno-canto.org/871731,https://xeno-canto.org/871731/download,"Västermark, Umeå, Västerbottens län",Lars Edenius,A
Siberian Jay,2,Siberian Jay - call,Xeno-canto,https://www.xeno-canto.org/771661,https://xeno-canto.org/771661/download,"Fulufjället Njupeskär, Älvdalen Municipality, Dalarnas län",Ulf Elman,A
Siberian Jay,3,"Siberian Jay - call, begging or aggression call?",Xeno-canto,https://www.xeno-canto.org/754119,https://xeno-canto.org/754119/download,"Styggrubba, Vilhelmina Municipality, Västerbottens län",Lars Edenius,A
Pine Grosbeak,1,"Pine Grosbeak - call, flight call",Xeno-canto,https://www.xeno-canto.org/1014526,https://xeno-canto.org/1014526/download,"Le Fjord-du-Saguenay Regional County Municipality (near  Saint-Fulgence), Saguenay–Lac-Saint-Jean, Quebec",Stanislas Wroza,A
Pine Grosbeak,2,"Pine Grosbeak - alarm call, call, flight call",Xeno-canto,https://www.xeno-canto.org/1014525,https://xeno-canto.org/1014525/download,"Le Fjord-du-Saguenay Regional County Municipality (near  Saint-Fulgence), Saguenay–Lac-Saint-Jean, Quebec",Stanislas Wroza,A
Pine Grosbeak,3,"Pine Grosbeak - flight call, song, rolled flight calls",Xeno-canto,https://www.xeno-canto.org/1014524,https://xeno-canto.org/1014524/download,"Le Fjord-du-Saguenay Regional County Municipality (near  Saint-Fulgence), Saguenay–Lac-Saint-Jean, Quebec",Stanislas Wroza,A
Common Nightingale,1,Common Nightingale - song,Xeno-canto,https://www.xeno-canto.org/1013706,https://xeno-canto.org/1013706/download,"Gmina Poniec (near  Pudliszki), Gostyń County, Greater Poland Voivodeship",Grzegorz Lorek,A
Common Nightingale,2,Common Nightingale - song,Xeno-canto,https://www.xeno-canto.org/1013705,https://xeno-canto.org/1013705/download,"Gmina Rydzyna (near  Kąkolewo), leszczyński, Greater Poland Voivodeship",Grzegorz Lorek,A
Common Nightingale,3,Common Nightingale - song,Xeno-canto,https://www.xeno-canto.org/1011872,https://xeno-canto.org/1011872/download,"Bocchigliero, Province of Cosenza, Calabria",Francesco Sottile,A
European Robin,1,European Robin - song,Xeno-canto,https://www.xeno-canto.org/1015479,https://xeno-canto.org/1015479/download,"Saski Park, Lublin, Powiat Lublin, Województwo lubelskie",Romuald Mikusek,A
